Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №21» города Калуги";248016,  г.Калуга, ул.В.Андриановой,  д. 3;"широта 54.5205545
долгота 36.27272019999998";"понедельник - суббота; 8.00 - 14.00; выходные: воскресенье";1024001430320;4029017558;11.03.2013 ;рег.№ 22 от 11.03.2013 серия 40А01 № 0000039 ;11.03.2025;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№64 от 30.03.2015 серия 40А01 №0000264-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №22» города Калуги";248018,  г.Калуга, ул.Хрустальная, д.2;"широта 54.520402
долгота 36.294249000000036";"понедельник-пятница; 8.30-16.00; выходные: суббота, воскресенье";1024001432729;4029022526;11.02.2014;рег.№12 от 11.02.2014 серия 40А01 №0000128;11.02.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№122 от 14.07.2015 серия 40А01 №0000321-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 23» города Калуги;248003,  г.Калуга, ул.Мичурина, д.45 ;"широта 54.510025
долгота 36.281971999999996";" понедельник - пятница;  8:00 - 19:00; суббота; 8-00 -14-00; выходные: воскресенье";1034004405412;4027023852;29.12.2015;рег.№196 от 29.12.2015 серия 40А01 №0000385;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование "; ;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Гимназия №24» города Калуги";248016, г.Калуга, ул.Ф.Энгельса, д. 12-а;"широта 54.51535579999999
долгота 36.27319139999997";"понедельник - пятница; 8.30 -17.30;
суббота; 8.30 - 15.00;
выходные: воскресенье";1024001432817;4029019643;26.12.2011 ;рег.№130 от 26.12.2011 серия ОП 003346;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№78 от 09.04.2015 серия 40А01 №0000279-переоформление ;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №25» города  Калуги";248025,   г.Калуга, ул.Тарутинская,  д. 70;"широта 54.55512
долгота 36.29265190000001";"понедельник - пятница; 8.00 -17.00;
выходные: воскресенье";1024001432476;4029017942;17.12.2012 ;рег.№ 211 от 17.12.2012 серия 40А01 № 0000010;17.12.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№95 от 22.04.2015 серия 40А01 №0000295-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная школа №26» города Калуги";248007,  г.Калуга, ул.Вишневского,  д.5;"широта 54.535932
долгота 36.17004599999996";"понедельник - пятница; 8.00 -17.50;
суббота; 8.00-15.10; выходные: воскресенье";1024001192258;4027047941; 25.03.2014 ;рег.№31 от 25.03.2014 серия 40А01 №0000148;25.03.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№36 от 05.03.2015 серия 40А01 №0000235-переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Основная общеобразовательная школа № 27 имени К.Г. Макарова» города Калуги;248017, г. Калуга, ул. Карьерная, д. 2;"широта 54.56677
долгота 36.24893999999995";"понедельник - пятница; 8:00 - 18:00; выходные: суббота, воскресенье";1024001346038;4028022812;28.03.2014 ;рег.№38 от 28.03.2014 серия 40А01 №0000155;28.03.2026;"начальное общее образование
основное общее образование
";рег.№73 от 03.04.2015 серия 40А01 №0000274-переоформление, рег.№152 от 26.12.2016 серия 40А01 №0000520 - переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №28» города Калуги";248032,  г.Калуга, ул.Трудовая, д. 12;"широта 54.513492
долгота 36.314861000000064";"понедельник-пятница;  8:00 -18:00;
суббота;  8:30 - 13:00;
выходной: воскресенье";1024001433510;4029023488;22.04.2013 ;рег.№ 41 от 22.04.2013 серия 40А01 № 0000060;22.04.2025;"начальное общее образование
основное общее образование
среднее общее образование ";приказ от 05.03.2014 №424 о переоформлении приложения, рег.№74 от 03.04.2015 серия 40А01 №0000275-переоформление ;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №29» города Калуги";248031,  г.Калуга, ул.Центральная,  д.13-а;"широта 54.59740799999999
долгота 36.264107999999965";"понедельник-пятница:  8.00 -18.15; выходные: суббота, воскресенье
";1024001435215;4029018030; 19.11.2014;рег.№75 от 19.11.2014 серия 40А01 №0000181;19.11.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №30» города Калуги";248029,  г.Калуга, ул.Гурьянова, д. 35;"широта 54.56626499999999
долгота 36.23531890000004";"понедельник-пятница;  8:00 -18:00;
выходные: суббота, воскресенье
";1024001340505;4028023887;25.11.2014 ;рег.№78 от 25.11.2014 серия 40А01 №0000183;25.11.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 31» города Калуги;248009, г.Калуга, ул.Дубрава, д.2 а;"широта 54.5447364
долгота 36.32832689999998";"понедельник-пятница;  8:00 -17:00;
выходные: суббота, воскресенье";1024001428054;4029017999;29.12.2015;рег.№174 от 29.12.2015 серия 40А01 №0000364;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование 
";03.02.2017 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №33» города Калуги";248921, г. Калуга, д.Шопино, ул. Школьная, д.11;"широта 54.4935191
долгота 54.4935191";"понедельник - пятница; 8:00 - 17:00; суббота; 8:00 - 13:00; выходные:  воскресенье";1024001184206;4027047719;06.02.2012 ;рег.№ 24 от 06.02.2012 ОП № 003337;06.02.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№55 от 23.03.2015 серия 40А01 №0000255-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Основная общеобразовательная школа № 35» города Калуги";248031, Калуга, д.Канищево, ул. Новая, д. 1;"широта 54.5956944
долгота 36.281458199999975";"понедельник - пятница; 8:30 - 15:10;  выходные: суббота,  воскресенье";1024001427350;4029017950;07.04.2014 ;рег.№39 от 07.04.2014 серия 40А01 №0000156; 07.04.2026;"начальное общее образование
основное общее образование
";29.04.2015-переоформлено приложение в связи с аккредитацией программы основного общего образования;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Лицей №36» города Калуги ;248030, г. Калуга, ул.Рылеева, 18;"широта 54.517993
долгота 36.251352999999995";" понедельник-пятница; 7.30-20.00; выходные: суббота,  воскресенье";1024001337139;4028024305;14.01.2014;рег.№5 от 14.01.2014 серия 40А01 №0000121;14.01.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№48 от 18.03.2015 серия 40А01 №0000248-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная школа №37»  города Калуги";248901, Калуга, ул. Школьная, д.3«а«;"широта 54.529736
долгота 36.10427900000002";"понедельник-пятница; 8.30-17.00; выходные: суббота,  воскресенье";1024001184041;4027053110;27.02.2012 ;рег.№42 от 27.02.2012 серия ОП № 003395;27.02.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№131 от 21.08.2015 серия 40А01 №0000327-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа № 38» города Калуги";248911, Калуга,  д. Колюпаново, д.11а;"широта 54.4334808
долгота 36.23168880000003";"понедельник-четверг; 8:00 - 17:15;
пятница: 8:00 - 16:00;
выходные: суббота, воскресенье ";1024001184767;4027053078;11.03.2013;рег.№ 28 от 11.03.2013 серия 40А01 № 0000003;11.03.2025;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№35 от 27.03.2014 серия 40А01 №0000152 -выдача свид. о госакредитациии взамен временного, рег. №72 от 25.04.2016 серия 40А01 № 0000449 - переоформление ;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Основная общеобразовательная  школа №39»  города Калуги";248920, г.Калуга, ст.Тихонова Пустынь, ул.Советская, д.3;"широта 54.640614
долгота 36.152202999999986";" понедельник-пятница; 08:00 -17:00; выходные: суббота, воскресенье ";1024001338811;4028022837;27.02.2012 ;рег.№ 39 от 27.02.2012 серия ОП № 003392; 27.02.2024 ;"начальное общее образование
основное общее образование
";рег.№ 51 от 26.04.2013 серия 40А01 № 0000071-переоформление, рег.№91 от 17.04.2015 серия 40А01 №0000292-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа №41» города Калуги";248918, Калуга, с.Муратовский щебзавод, 7 а;"широта 54.6080575
долгота 999936.2048442999";"понедельник - вторник; 8.00 - 17.15; 
пятница; 8:00 - 16:00; выходные: суббота, воскресенье ";1024001339603;4028024190;26.02.2015;рег.№27 от 26.02.2015 серия 40А01 №0000226;26.02.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа № 43» города Калуги";248903, г.Калуга, с.Росва, ул.Московская, д. 6 «б«;"широта 54.5141895
долгота 36.05977840000003";"понедельник-пятница; группы дошкольного образования 7:00-19:00; 9:00-19:00 школа; выходные: суббота, воскресенье 

";1024001339185;4028021128;11.04.2011 ;рег.№27(5) от 11.04.2011 серия ОП 003188;11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 42 от 22.04.2013 серия 40А01 № 0000061-переоформление, рег.№145 от 15.12.2016 серия 40А01 №0000513 -переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная  школа № 44» города Калуги;248032,  Калуга, ул.Льва Толстого, д. 51;"широта 54.511104
долгота 36.3523467";"понедельник-пятница; 08:00 -19:00; выходные: суббота, воскресенье  ";1024001428417;4029016138;17.12.2012 ;рег.№ 210 от 17.12.2012 серия 40А01 № 0000009;17.12.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№96 от 22.04.2015 серия 40А01 №0000296-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная школа №45» города Калуги
 ";248002, г.Калуга, ул.Николо-Козинская, д. 68;"широта 54.504775
долгота 36.272467000000006";"понедельник-пятница; 08:00 -19:00; выходные: суббота, воскресенье  ";1024001186550;4027041717;26.12.2011 ;рег.№120 от 26.12.2011 серия ОП 003336;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№67 от 31.03.2015 серия 40А01 №0000268-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная школа №46» города Калуги";248012, г.Калуга, ул.Кибальчича, д. 17, 19;"широта 54.581378
долгота 36.24619499999994";"понедельник-суббота; 08:30 -18:00; выходные: воскресенье  ";1024001349217;4028023904;09.12.2014 ;рег.№84 от 09.12.2014 серия 40А01 №0000189;09.12.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 47» города Калуги;248000, г.Калуга,  проезд Мира, д.1;"широта 54.53214790000001
долгота 36.01903679999998";"понедельник - пятница; 8:00 - 17:00; выходные: суббота, воскресенье  ";1024000566061;4004005896; 26.12.2011;рег. № 128 серия ОП № 003344 от 26.12.2011;26.12.2023;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 21 от 06.03.2013 серия 40А01 № 0000038-переоформление, рег.№118 от 18.06.2015 серия 40А01 №0000317 - переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Лицей № 48» города Калуги";248017,  г. Калуга, бульвар Моторостроителей, 16;"широта 54.567894
долгота 36.266706";"понедельник; 8:30 -15.45, вторник- пятница - 9.00-15.45; выходные: суббота, воскресенье  ";1024001346027;4028024062;06.02.2012 с;рег.№ 19 от 06.02.2012 серия ОП № 003367;06.02.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№109 от 08.05.2015 серия 40А01 №0000308-переоформление;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная  школа № 49» города Калуги";248029, г.Калуга, ул.Гурьянова, д.65;"широта 54.5681879
долгота 36.23110280000003";"понедельник - пятница; 8:00 -17:00; выходные: суббота, воскресенье  
";1044004600089;4028020621 ;21.03.2016; рег.№ 48 от 21.03.2016 серия 40А01 № 0000430;21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"муниципальное бюджетное общеобразовательное учреждение 
«Средняя общеобразовательная школа № 50» города Калуги";248033, г. Калуга, ул. Заречная, д. 72;"широта 54.49497599999999
долгота 36.219620899999995";"понедельник-пятница; 8:00 -19:00;
выходной: суббота, воскресенье";1024001193468;4027035262; 23.01.2014 ;рег.№ 10 от 23.01.2014 серия 40А01 №0000126;23.01.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№139 от 12.12.2016 серия 40А01 №0000507 - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 51» города Калуги;248031, г.Калуга, ул.Дорожная, д. 17;"широта 54.596111
долгота 36.268116899999995";"понедельник-пятница; 8:30 -17:30; выходной: суббота, воскресенье";1024001428868;4029023985;08.02.2016;рег.№20 от 08.02.2016 серия 40А01 №0000402;08.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Автономная некоммерческая организация средняя общеобразовательная школа  «Школа на Воскресенской»;248000 г.Калуга, ул.Воскресенская, 15;"широта 54.50738
долгота 36.25887299999999";"понедельник-пятница; 8.30-18.00; суббота; 8.30-15:00; выходной: воскресенье";1164027066939;4027131142;04.03.2015;рег.№31 от 04.03.2015 серия 40А01 №0000230;04.03.2027;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№151 от 23.12.2016 серия 40А01 №0000519 - переоформление;;;;;;;
министерство образования и науки Калужской области;частное общеобразовательное учреждение «Православная гимназия в г.Калуге»;248000, город Калуга, улица Дарвина, д.13/33;"широта 54.509877
долгота 36.25551900000005";"понедельник-суббота; 8.20-14.55; выходные: воскресенье";1024001201124;4027028900;02.04.2012;рег.№ 62 от 02.04.2012 серия ОП № 003416;02.04.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№156 от 20.11.2015 серия 40А01 №0000348-переоформление;;;;;;;
министерство образования и науки Калужской области;Негосударственное общеобразовательное частное учреждение «Средняя общеобразовательная школа «Радуга»;248010, г.Калуга, ул.Комсомольская Роща, д.39 строение 1;"широта 54.5347491
долгота 36.25740059999998";"понедельник-пятница; 8:00 - 18:00;
суббота; 8:00 - 15:00; выходные:воскресенье
";1024001426690;4029008218; 11.05.2011;рег.№32 от 11.05.2011 серия ОП 003235;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 168 от 30.05.2012 серия ОП № 003544 взамен временного, рег.№11 от 31.01.2014 серия 40А01 №0000127-переоформление, рег.№112 от 25.05.2015 серия 40А01 №0000311-переоформление;;;;;;;
министерство образования и науки Калужской области;государственное казенное учреждение здравоохранения Калужской области «Детский санаторий для больных туберкулезом Калужской области имени Павлика Морозова» (структурное образовательное подразделение - Школа)                                   ;248007, г.Калуга, ул.Калуга-Бор, 15;"широта 54.5196181
долгота 36.19859930000007";круглогодично;1024001191125;4027048550;;нет;;;;;;;;;;
министерство образования и науки Калужской области;Государственное казенное общеобразовательное учреждение Калужской области «Областной центр образования»;"248008 г.Калуга, ул.Тарутинская, д. 231
";"широта 54.57861200000001
долгота 36.312341999999944";"понедельник-пятница; 8:20-17:05; суббота:8:20-11:35";1024001434050;4029005954;15.06.2011;рег.№60 от 15.06.2011 серия ОП 003269 ;15.06.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№66 от 25.04.2016 серия 40Л01 №0000443-переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное казенное общеобразовательное учреждение Калужской области «Калужская общеобразовательная школа-интернат №1 для обучающихся с ограниченными возможностями здоровья»;248000, Калужская область, город Калуга, улица Кутузова, д.18;"широта 54.503981
долгота 36.25710400000003";круглосуточно;1024001189937;4026008347;11.03.2015;рег.№37 от 11.03.2015 серия 40А01 №0000237;11.03.2027;"начальное общее образование
основное общее образование
";рег.№25 от 24.02.2016 серия 40А01 №0000407-переоформление ;;;;;;;
министерство образования и науки Калужской области;Государственное казенное общеобразовательное учреждение Калужской области «Калужская общеобразовательная школа-интернат № 5 имени Ф.А. Рау для обучающихся с ограниченными возможностями здоровья»;248018, Калужская область, город Калуга, улица Стеклянников сад, д. 25;"широта 54.5137381
долгота 36.28732860000002";круглосуточно;1024001191268;4027024060;08.12.2014;рег.№83 от 08.12.2014 серия 40А01 №0000188;08.12.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№168 от 23.12.2015 серия 40А01 №0000438 - переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное казенное учреждение Калужской области для детей-сирот и детей, оставшихся без попечения родителей «Азаровский детский дом имени Попова В.Т.»;248012, г. Калуга, ул. Кубяка, д. 20;"широта 54.5783564
долгота 36.247099299999945";круглосуточно;1024001336908;4028010768;14.04.2014;рег.№41 от 14.04.2014 серия 40А01 №0000158;14.04.2026;"начальное общее образование
основное общее образование
";рег.№24 от 11.02.2016 серия 40А01 №0000406-переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение Калужской области «Калужский кадетский многопрофильный техникум»;248021, Калужская область, г. Калуга, ул. Московская, д. 245;"широта 54.54223769999999
долгота 36.27092229999994";"понедельник- пятница; 8.00 - 16.30; выходные: суббота, воскресенье";1024001346478;4028015269;30.03.2017;рег.№5 от 30.03.2017 серия 40А01 №0000059;30.03.2023;"08.00.00 Наименование укрупненной группы профессий
ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
15.00.00 Наименование укрупненной группы профессий
МАШИНОСТРОЕНИЕ
23.00.00 Наименование укрупненной группы профессий 
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
      08.00.00 Наименование укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА                       23.00.00 Наименование укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА 35.00.00 Наименование укрупненной группы специальностей 
СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО                                 46.00.00 Наименование укрупненной группы специальностей 
ИСТОРИЯ И АРХЕОЛОГИЯ";;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное  учреждение Калужской области  «Реабилитационный центр для инвалидов «Калужский реабилитационно-образовательный комплекс»;248008, Российская Федерация, город Калуга, улица Тарутинская, дом 171 «а«;"широта 54.56366999999999
долгота 36.29621700000007";круглосуточно;1024001431080;4029012648;04.06.2012;рег.№ 174 от 04.06.2012 серия ОП № 003552;04.06.2018;"230000 Информатика и вычислительная техника
230103.02 Мастер по обработке цифровой информации";;;;;;;;
министерство образования и науки Калужской области;федеральное казенное профессиональное образовательное учреждение № 57 Федеральной службы исполнения наказаний;Российская Федерация, 248002, Калужская область, г. Калуга, ул. Николо-Козинская, д. 129;"широта 54.499596
долгота 36.27693799999997";круглосуточно;1024001195723;4027054829;06.12.2016;рег.№136 от 06.12.2016 серия 40А01 №0000054;06.12.2022;" 15.00.00 Наименование укрупненной группы профессий
МАШИНОСТРОЕНИЕ             23.00.00 Наименование укрупненной группы профессий 
ТЕХНИКА И ТЕХНОЛОГИИ НАЗАМНОГО ТРАНСПОРТА";;;;;;;;
министерство образования и науки Калужской области;государственное бюджетное профессиональное образовательное учреждение Калужской области «Калужский областной колледж культуры и искусств»;Российская Федерация, 248001, г. Калуга, ул. Суворова, д. 143;"широта 54.515777
долгота 36.26649199999997";" понедельник-суббота; 8:30 -17:00; выходные: воскресенье";1024001190861;4027017055; 13.06.2013 ;рег.№ №66 от 13.06.2013 серия 40А01 № 0000128;13.06.2019;"
51.00.00 Наименование укрупненной группы специальностей
КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ                              52.00.00 Наименование укрупненной группы специальностей
СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО  53.00.00 Наименование укрупненной группы специальностей
МУЗЫКАЛЬНОЕ ИСКУССТВО
54.00.00 Наименование укрупненной группы специальностей
ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ


"; 26.12.2013-переоформление приложения, рег. № 53 от 22.03.2016 серия 40А01 №0000043-переоформление, 15.03.2018 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;государственное бюджетное профессиональное образовательное учреждение Калужской области «Калужский областной музыкальный колледж им. С.И. Танеева»;"248000, г. Калуга, ул. Кутузова, д. 24
";"широта 54.502596
долгота 36.259784999999965";"понедельник-суббота;  8:30 -19:00; выходные: воскресенье";1024001201168;4027020890;04.05.2017;рег.№8 от 04.05.2017 серия 40А01 №0000062;04.05.2023;"53.00.00 Наименование укрупненной группы специальностей
МУЗЫКАЛЬНОЕ ИСКУССТВО

";;;;;;;;
министерство образования и науки Калужской области;Государственное автономное профессиональное образовательное учреждение Калужской области  «Калужский базовый медицинский колледж»;"248000 город Калуга, улица Кутузова, дом 26
";"широта 54.502177
долгота 36.259900000000016";"понедельник - пятница; 8.00-18:20;
суббота: 8.00 -14.00; 
выходные: воскресенье


";1024001195151;4027023250;21.04.2014;рег.№46 от 21.04.2014 серия 40А01 №0000163;21.04.2020;"34.00.00 Наименование укрупненной группы профессий
СЕСТРИНСКОЕ ДЕЛО
31.00.00 Наименование укрупненной группы специальностей
КЛИНИЧЕСКАЯ МЕДИЦИНА
33.00.00 Наименование укрупненной группы специальностей 
ФАРМАЦИЯ
34.00.00 Наименование укрупненной группы специальностей 
СЕСТРИНСКОЕ ДЕЛО";;;;;;;;
министерство образования и науки Калужской области;"Государственное автономное профессиональное образовательное учреждение Калужской области ""Калужский колледж экономики и технологий""";248001, Калужская область, г. Калуга, ул. Рылеева, д. 39;"широта 54.51627999999999
долгота 36.25165300000003";"понедельник- пятница; 8:00 - 17:00; выходные: суббота, воскресенье";1024001194909;4027025401; 30.12.2014 ;рег.№98 от 30.12.2014 серия 40А01 №0000017;30.12.2020;"19.00.00 Наименование укрупненной группы профессий
ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
38.00.00 Наименование укрупненной группы профессий
ЭКОНОМИКА И УПРАВЛЕНИЕ
09.00.00 Наименование укрупненной группы специальностей ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА, 15.00.00  Наименование укрупненной группы специальностей МАШИНОСТРОЕНИЕ, 
19.00.00 Наименование укрупненной группы специальностей 
ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ, 38.00.00 Наименование укрупненной группы специальностей ЭКОНОМИКА И УПРАВЛЕНИЕ,  
43.00.00 Наименование укрупненной группы специальностей
СЕРВИС И ТУРИЗМ, 46.00.00 Наименование укрупненной группы специальностей ИСТОРИЯ И АРХЕОЛОГИЯ";рег.№148 от 12.11.2015 серия 40А01 №0000030-переоформление, приказ от 04.10.2016 №1611 о переоформлении свидетельства в части приложения, рег.№15 от 05.09.2017 серия 40А01 №0000067 - переоформление;;;;;;;
министерство образования и науки Калужской области;государственное бюджетное профессиональное образовательное учреждение  Калужской области «Коммунально-строительный техникум» им.И.К.Ципулина ;248640, Калужская область,г. Калуга, ул. Маршала Жукова, д.53;"широта 54.521598
долгота 36.29120999999998";"понедельник - пятница; 8:00 - 17:00; выходные: суббота, воскресенье";1024001428747;4029008521;17.11.2014;рег.№74 от 17.11.2014 серия 40А01 №0000011;17.11.2020;"08.00.00 Наименование укрупненной группы профессий ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
15.00.00 Наименование укрупненной группы профессий
МАШИНОСТРОЕНИЕ
07.00.00 Наименование укрупненной группы специальностей 
АРХИТЕКТУРА
08.00.00 Наименование укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
35.00.00 Наименование укрупненной группы специальностей 
СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО";рег.№108 от 08.05.2015 серия 40А01 №0000023-переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение  Калужской области «Калужский педагогический колледж»;248021, г. Калуга, ул. Поле Свободы, д.28А;"широта 54.5249907
долгота 36.26238860000001";"понедельник- пятница; 8:00 -16:30; выходные: суббота, воскресенье";1024001345972;4026008467;03.05.2018;рег.№3 от 03.05.2018 серия 40А01 №0000071;03.05.2024;"13.00.00 Наименование укрупненной группы специальностей 
ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
15.00.00 Наименование укрупненной группы специальностей 
МАШИНОСТРОЕНИЕ
44.00.00  Наименование укрупненной группы специальностей 
ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
46.00.00 Наименование укрупненной группы специальностей 
ИСТОРИЯ И АРХЕОЛОГИЯ
49.00.00 Наименование укрупненной группы специальностей      ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ";25.07.2018 - переоформление приложения;;;;;;;
