Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Кондровская средняя общеобразовательная школа №2»;249833, Калужская область, Дзержинский район, г. Кондрово, ул. Ленина, д.31;"широта 54.7928905
долгота 35.920881399999985";"понедельник-пятница: 08:30 - 14:10; выходной: суббота, воскресенье";1024000565929;4004004010;"      01.02.2016        


";"    рег.№12 от 01.02.2016 серия 40А01 №0000396       


";01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"       


";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Кондровская средняя общеобразовательная школа № 3»;249831, Калужская область, Дзержинский район, г. Кондрово, ул. Орджоникидзе, д. 20;"широта 54.7821972
долгота 35.9394777";"понедельник-пятница: 08:00 - 17:15; выходной: суббота, воскресенье";1024000565885;4004003560;"      01.02.2016    


";"рег.№9 от 01.02.2016 серия 40А01 №0000393     


";01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"    


";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Кондровская средняя общеобразовательная школа № 4»;249833, Калужская область, Дзержинский район, г. Кондрово, ул. Чапаева, д.36;"широта 54.797984
долгота 35.948758699999985";"понедельник-пятница: 08:00 - 17:00; выходной: суббота, воскресенье";1024000567458;4004009756;06.02.2012;рег.№ 26 от 06.02.2012                     ОП № 003375;06.02.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№150 от 22.12.2016 серия 40А01 №0000518  - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Полотняно-Заводская средняя общеобразовательная школа № 1»;"249844, Калужская область, Дзержинский район,
п. Полотняный Завод, ул. Пугачева, д.25";"широта 54.728395
долгота 35.976920300000074";"понедельник-пятница: 08:30 - 16:00; выходной: суббота, воскресенье";1024000566226;4004009770;"29.02.2016

";" рег. № 28 от 29.02.2016 серия 40А01 №0000410


";29.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"


";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Полотняно-Заводская средняя общеобразовательная школа № 2»;"249845, Калужская область, Дзержинский район, 
п. Полотняный Завод, ул. Школьная, д.1";"широта 54.726353
долгота 35.96850949999998";"понедельник-пятница: 07:00 - 19:00; выходной: суббота, воскресенье";1024000566897;4004009890;"29.02.2016

";" рег.№ 29 от 29.02.2016 серия 40А01 №0000411

";29.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"

";;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Пятовская средняя общеобразовательная школа»;"249860, Калужская область, Дзержинский район,
пос. Пятовский, ул. Ленина, д.12";"широта 54.688701
долгота 36.059803999999986";"понедельник-пятница: 08:30 - 16:00; выходной: суббота, воскресенье";1024000567513;4004003465;"29.12.2015

";"рег.№191 от 29.12.2015 серия 40А01 №0000380 

";29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";"

";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Товарковская средняя общеобразовательная школа № 1»;"249855, Калужская область, Дзержинский район,
п. Товарково, ул. Ленина, д.2 «а«";"широта 54.45760440000001
долгота 35.19114079999997";"понедельник-пятница: 08:00 - 20:00; выходной: суббота, воскресенье";1024000567359;4004010039;"29.12.2015

 
";"рег.№195 от 29.12.2015 серия 40А01 №0000384 
 
";29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";"

 
";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Товарковская средняя общеобразовательная школа №2»;249856, Калужская область, Дзержинский район, п. Товарково, ул. Школьная, д.1;"широта 54.6787344
долгота 35.93712389999996";"понедельник-пятница: 08:00 - 21:00; выходной: суббота, воскресенье";1024000568745;4004003842;21.03.2016; рег. № 43 от 21.03.2016 серия 40А01 №0000425;21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Лев-Толстовская средняя общеобразовательная школа»;"249842, Калужская область, Дзержинский район, 
с. Льва Толстого, ул. Полевая, д.10";"широта 54.6077632
долгота 36.038099699999975";"понедельник-четверг: 08:00 - 18:00, пятница: 08:00 - 17:30, суббота: 08:00 - 12:00; выходной:  воскресенье";1024000566006;4004003916;29.12.2015;рег.№190 от 29.12.2015 серия 40А01 №0000379;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Жилетовская средняя общеобразовательная школа»;"249841, Калужская область, Дзержинский район, 
д. Жилетово, ул. Садовая, д. 2";"широта 54.6940627
долгота 36.02170000000001";"понедельник-пятница: 08:00 - 20:00; выходной: суббота, воскресенье";1024000568514;4004006650;" 21.03.2016 

";" рег. № 41 от 21.03.2016 серия 40А01 №0000423

";21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"

";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Остроженская средняя общеобразовательная школа»;"249864, Калужская область, Дзержинский район,
с. Острожное, ул. Школьная, д.1";"широта 54.8038937
долгота 35.74365560000001";"понедельник-пятница: 08:30 - 16:00; выходной: суббота, воскресенье";1024000567216;4004009700;"21.03.2016

";" рег. № 42 от 21.03.2016 серия 40А01 №0000424

";21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"

";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Лужновская средняя общеобразовательная школа»;"249868, Калужская область, Дзержинский район, 
д. Лужное, ул. Центральная, д.1";"широта 54.7036678
долгота 35.74567769999999";"понедельник-пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000567491;4004006321;"29.12.2015

 
";"рег.№188 от 29.12.2015 серия 40А01 №0000377

 
";29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";"

 
";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Редькинская средняя общеобразовательная школа»;"249840, Калужская область, Дзержинский район, 
д. Редькино, д.19";"широта 54.7564444
долгота 36.066032199999995";"понедельник-пятница: 08:30 - 16:00; выходной: суббота, воскресенье";1024000568074;4004003874;"29.12.2015
";"рег.№193 от 29.12.2015 серия 40А01 №0000382
 
";29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";" 
 
";;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Чкаловская средняя общеобразовательная школа»;"249846, Калужская область, Дзержинский район, 
с. Совхоз Чкаловский, ул. Школьная, д.3";"широта 54.5575633
долгота 35.88499120000006";"понедельник-пятница: 07:00 - 17:00; выходной: суббота, воскресенье";1024000566039;4004009940;25.04.2016; рег.№ 67 от 25.04.2016 серия 40А01 №0000444 ;25.04.2028;"начальное общее образование
основное общее образование
среднее общее образование ";приказ от 06.06.2017 №839 о переоформлении свидетельства в части приложения;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Карцовская основная общеобразовательная школа»;"249858, Калужская область, Дзержинский район, 
д. Карцово, ул. Школьная, дом 11 а";"широта 54.78463970000001
долгота 36.0300201";"понедельник-пятница: 08:30 - 21:00; выходной: суббота, воскресенье";1024000567128;4004009869;"08.02.2016
";" рег.№23 от 08.02.2016 серия 40А01 №0000405

";08.02.2028;"начальное общее образование
основное общее образование
";"

";;;;;;;
